EpochNum,StartTime,EndTime,BinaryLabels
211,2018-11-13 13:43:53,2018-11-13 13:43:58,1.0
212,2018-11-13 13:43:58,2018-11-13 13:44:03,1.0
213,2018-11-13 13:44:03,2018-11-13 13:44:08,1.0
214,2018-11-13 13:44:08,2018-11-13 13:44:13,1.0
215,2018-11-13 13:44:13,2018-11-13 13:44:18,1.0
216,2018-11-13 13:44:18,2018-11-13 13:44:23,1.0
217,2018-11-13 13:44:23,2018-11-13 13:44:28,1.0
218,2018-11-13 13:44:28,2018-11-13 13:44:33,1.0
219,2018-11-13 13:44:33,2018-11-13 13:44:38,1.0
220,2018-11-13 13:44:38,2018-11-13 13:44:43,1.0
221,2018-11-13 13:44:43,2018-11-13 13:44:48,1.0
222,2018-11-13 13:44:48,2018-11-13 13:44:53,1.0
223,2018-11-13 13:44:53,2018-11-13 13:44:58,1.0
224,2018-11-13 13:44:58,2018-11-13 13:45:03,1.0
225,2018-11-13 13:45:03,2018-11-13 13:45:08,1.0
226,2018-11-13 13:45:08,2018-11-13 13:45:13,1.0
227,2018-11-13 13:45:13,2018-11-13 13:45:18,1.0
228,2018-11-13 13:45:18,2018-11-13 13:45:23,1.0
229,2018-11-13 13:45:23,2018-11-13 13:45:28,1.0
230,2018-11-13 13:45:28,2018-11-13 13:45:33,1.0
231,2018-11-13 13:45:33,2018-11-13 13:45:38,1.0
232,2018-11-13 13:45:38,2018-11-13 13:45:43,1.0
233,2018-11-13 13:45:43,2018-11-13 13:45:48,1.0
234,2018-11-13 13:45:48,2018-11-13 13:45:53,-1.0
235,2018-11-13 13:45:53,2018-11-13 13:45:58,1.0
236,2018-11-13 13:45:58,2018-11-13 13:46:03,1.0
237,2018-11-13 13:46:03,2018-11-13 13:46:08,1.0
238,2018-11-13 13:46:08,2018-11-13 13:46:13,1.0
239,2018-11-13 13:46:13,2018-11-13 13:46:18,1.0
240,2018-11-13 13:46:18,2018-11-13 13:46:23,1.0
241,2018-11-13 13:46:23,2018-11-13 13:46:28,1.0
242,2018-11-13 13:46:28,2018-11-13 13:46:33,1.0
243,2018-11-13 13:46:33,2018-11-13 13:46:38,1.0
244,2018-11-13 13:46:38,2018-11-13 13:46:43,1.0
245,2018-11-13 13:46:43,2018-11-13 13:46:48,1.0
246,2018-11-13 13:46:48,2018-11-13 13:46:53,1.0
247,2018-11-13 13:46:53,2018-11-13 13:46:58,1.0
248,2018-11-13 13:46:58,2018-11-13 13:47:03,1.0
249,2018-11-13 13:47:03,2018-11-13 13:47:08,1.0
250,2018-11-13 13:47:08,2018-11-13 13:47:13,1.0
251,2018-11-13 13:47:13,2018-11-13 13:47:18,1.0
252,2018-11-13 13:47:18,2018-11-13 13:47:23,1.0
253,2018-11-13 13:47:23,2018-11-13 13:47:28,1.0
254,2018-11-13 13:47:28,2018-11-13 13:47:33,1.0
255,2018-11-13 13:47:33,2018-11-13 13:47:38,1.0
256,2018-11-13 13:47:38,2018-11-13 13:47:43,1.0
257,2018-11-13 13:47:43,2018-11-13 13:47:48,1.0
258,2018-11-13 13:47:48,2018-11-13 13:47:53,1.0
259,2018-11-13 13:47:53,2018-11-13 13:47:58,1.0
260,2018-11-13 13:47:58,2018-11-13 13:48:03,1.0
261,2018-11-13 13:48:03,2018-11-13 13:48:08,1.0
262,2018-11-13 13:48:08,2018-11-13 13:48:13,1.0
263,2018-11-13 13:48:13,2018-11-13 13:48:18,1.0
264,2018-11-13 13:48:18,2018-11-13 13:48:23,1.0
265,2018-11-13 13:48:23,2018-11-13 13:48:28,1.0
266,2018-11-13 13:48:28,2018-11-13 13:48:33,1.0
267,2018-11-13 13:48:33,2018-11-13 13:48:38,1.0
268,2018-11-13 13:48:38,2018-11-13 13:48:43,1.0
269,2018-11-13 13:48:43,2018-11-13 13:48:48,1.0
270,2018-11-13 13:48:48,2018-11-13 13:48:53,1.0
271,2018-11-13 13:48:53,2018-11-13 13:48:58,1.0
272,2018-11-13 13:48:58,2018-11-13 13:49:03,1.0
273,2018-11-13 13:49:03,2018-11-13 13:49:08,1.0
274,2018-11-13 13:49:08,2018-11-13 13:49:13,1.0
275,2018-11-13 13:49:13,2018-11-13 13:49:18,1.0
276,2018-11-13 13:49:18,2018-11-13 13:49:23,1.0
277,2018-11-13 13:49:23,2018-11-13 13:49:28,1.0
278,2018-11-13 13:49:28,2018-11-13 13:49:33,1.0
279,2018-11-13 13:49:33,2018-11-13 13:49:38,1.0
280,2018-11-13 13:49:38,2018-11-13 13:49:43,1.0
281,2018-11-13 13:49:43,2018-11-13 13:49:48,1.0
282,2018-11-13 13:49:48,2018-11-13 13:49:53,1.0
283,2018-11-13 13:49:53,2018-11-13 13:49:58,1.0
284,2018-11-13 13:49:58,2018-11-13 13:50:03,1.0
285,2018-11-13 13:50:03,2018-11-13 13:50:08,1.0
286,2018-11-13 13:50:08,2018-11-13 13:50:13,1.0
287,2018-11-13 13:50:13,2018-11-13 13:50:18,1.0
288,2018-11-13 13:50:18,2018-11-13 13:50:23,1.0
289,2018-11-13 13:50:23,2018-11-13 13:50:28,1.0
290,2018-11-13 13:50:28,2018-11-13 13:50:33,1.0
291,2018-11-13 13:50:33,2018-11-13 13:50:38,1.0
292,2018-11-13 13:50:38,2018-11-13 13:50:43,1.0
293,2018-11-13 13:50:43,2018-11-13 13:50:48,1.0
294,2018-11-13 13:50:48,2018-11-13 13:50:53,1.0
295,2018-11-13 13:50:53,2018-11-13 13:50:58,1.0
296,2018-11-13 13:50:58,2018-11-13 13:51:03,1.0
297,2018-11-13 13:51:03,2018-11-13 13:51:08,1.0
298,2018-11-13 13:51:08,2018-11-13 13:51:13,1.0
299,2018-11-13 13:51:13,2018-11-13 13:51:18,1.0
300,2018-11-13 13:51:18,2018-11-13 13:51:23,-1.0
301,2018-11-13 13:51:23,2018-11-13 13:51:28,-1.0
302,2018-11-13 13:51:28,2018-11-13 13:51:33,1.0
303,2018-11-13 13:51:33,2018-11-13 13:51:38,1.0
304,2018-11-13 13:51:38,2018-11-13 13:51:43,1.0
305,2018-11-13 13:51:43,2018-11-13 13:51:48,1.0
